episode,scenario,total_reward,avg_wait_s,peak_queue,epsilon,max_emerg_wait_s,delta_vs_baseline_pct,episode_time_s
203,off_peak.rou,6347.1,3.15,14,0.01,0.0,-96.2,25.4
204,weekend_market.rou,8473.1,3.98,16,0.01,0.0,-95.1,33.5
205,heavy_emergency.rou,-15134.2,22.62,84,0.01,0.0,-72.4,77.3
206,morning_rush.rou,-11627.9,19.82,76,0.01,0.0,-75.8,74.6
207,evening_rush.rou,-64062723.2,100089.76,545,0.01,0.0,122214.3,227.6
208,off_peak.rou,6915.7,2.52,12,0.01,0.0,-96.9,25.5
209,weekend_market.rou,7598.0,5.45,18,0.01,0.0,-93.3,34.3
210,heavy_emergency.rou,-19055.9,25.28,109,0.01,0.0,-69.1,80.2
211,morning_rush.rou,-16927.6,24.41,87,0.01,0.0,-70.2,78.0
212,evening_rush.rou,-3309.1,12.71,51,0.01,0.0,-84.5,58.9
213,off_peak.rou,4276.5,3.99,14,0.01,0.0,-95.1,29.9
214,weekend_market.rou,8391.6,4.03,12,0.01,0.0,-95.1,43.2
215,heavy_emergency.rou,-21811.7,29.22,105,0.01,0.0,-64.3,87.6
216,morning_rush.rou,-15052.1,24.53,81,0.01,0.0,-70.0,72.7
217,evening_rush.rou,-5096.5,14.24,68,0.01,0.0,-82.6,62.1
218,off_peak.rou,4352.6,3.77,13,0.01,0.0,-95.4,29.0
219,weekend_market.rou,6784.2,5.42,18,0.01,0.0,-93.4,35.4
220,heavy_emergency.rou,-20532.1,26.9,73,0.01,0.0,-67.1,79.7
221,morning_rush.rou,-6180.2,15.95,73,0.01,0.0,-80.5,65.2
222,evening_rush.rou,-1506.8,12.93,71,0.01,0.0,-84.2,56.8
223,off_peak.rou,5569.9,3.38,12,0.01,0.0,-95.9,26.2
224,weekend_market.rou,7053.8,5.45,14,0.01,0.0,-93.3,35.1
225,heavy_emergency.rou,-28903.6,29.97,121,0.01,0.0,-63.4,97.3
226,morning_rush.rou,-8881.7,18.89,70,0.01,0.0,-76.9,79.7
227,evening_rush.rou,-1929.4,11.78,47,0.01,0.0,-85.6,54.3
228,off_peak.rou,5459.2,4.65,13,0.01,0.0,-94.3,27.6
229,weekend_market.rou,8028.2,4.0,16,0.01,0.0,-95.1,35.7
230,heavy_emergency.rou,-32008.4,31.28,112,0.01,0.0,-61.8,81.1
231,morning_rush.rou,-14918.0,21.89,85,0.01,0.0,-73.2,74.4
232,evening_rush.rou,-4867.0,14.59,57,0.01,0.0,-82.2,58.6
233,off_peak.rou,5309.7,4.52,14,0.01,0.0,-94.5,28.9
234,weekend_market.rou,8146.1,4.32,14,0.01,0.0,-94.7,42.5
235,heavy_emergency.rou,-12541.6,21.37,74,0.01,0.0,-73.9,76.3
236,morning_rush.rou,-20761.9,26.63,103,0.01,0.0,-67.5,81.8
237,evening_rush.rou,-8570.1,16.25,53,0.01,0.0,-80.1,62.0
238,off_peak.rou,6388.8,3.4,13,0.01,0.0,-95.9,26.5
239,weekend_market.rou,8104.5,3.87,12,0.01,0.0,-95.3,34.6
240,heavy_emergency.rou,-7007.2,16.91,70,0.01,0.0,-79.3,67.8
241,morning_rush.rou,-18145.9,23.78,80,0.01,0.0,-70.9,103.1
242,evening_rush.rou,44.6,10.89,51,0.01,0.0,-86.7,61.0
243,off_peak.rou,6325.6,3.55,13,0.01,0.0,-95.7,28.5
244,weekend_market.rou,-49699776.1,67514.22,511,0.01,0.0,82405.5,178.0
245,heavy_emergency.rou,-22488.5,29.36,101,0.01,0.0,-64.1,73.4
246,morning_rush.rou,-15142614.4,22333.44,546,0.01,0.0,27192.5,139.6
247,evening_rush.rou,-473.8,12.1,58,0.01,0.0,-85.2,56.3
248,off_peak.rou,5984.1,3.62,13,0.01,0.0,-95.6,26.3
249,weekend_market.rou,5812.4,4.17,15,0.01,0.0,-94.9,36.5
250,heavy_emergency.rou,-6562327.3,8891.32,544,0.01,0.0,10765.6,118.2
